EXCHANGE%3DNYSE,,,,,
MARKET_OPEN_MINUTE=570,,,,,
MARKET_CLOSE_MINUTE=960,,,,,
INTERVAL=300,,,,,
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=,,,,,
TIMEZONE_OFFSET=-240,,,,,
941,155.95,156.07,155.92,155.95,192711
942,155.67,155.99,155.65,155.96,249825
a1473687000,155.3,155.34,155.26,155.26,2412
1,155.31,155.4,154.84,155.3,174003
2,155.45,155.45,155.09,155.3,36799
3,155.41,155.49,155.28,155.465,55754
4,155.238,155.44,155.1,155.4,43929
5,155.2725,155.31,155.1,155.255,35136
6,155.56,155.69,155.21,155.29,34954
7,155.8,155.84,155.52,155.56,40323
8,155.7768,155.86,155.59,155.77,31987
9,155.91,155.94,155.69,155.76,35909
10,155.93,155.99,155.67,155.91,58890
11,156.0379,156.05,155.85,155.92,46972
12,156.37,156.37,156.05,156.05,52239
13,156.28,156.41,156.22,156.39,48724
14,156.34,156.34,156.21,156.295,29908
15,156.48,156.48,156.29,156.34,28311
16,156.26,156.505,156.215,156.48,25915
17,156.28,156.33,156.19,156.2821,24410
18,156.43,156.47,156.23,156.28,27140
19,156.7,156.7,156.44,156.45,27918
20,156.55,156.74,156.54,156.7,18946
21,156.52,156.62,156.42,156.62,21245
22,156.6,156.645,156.42,156.5,24341
23,156.64,156.64,156.5,156.6,30382
24,156.6,156.68,156.53,156.65,17720
25,156.59,156.63,156.47,156.6098,32291
26,156.71,156.737,156.53,156.58,28219
27,156.73,156.817,156.7,156.7244,22491
28,156.6965,156.76,156.65,156.76,17322
29,156.74,156.789,156.69,156.69,13786
30,156.7,156.8207,156.64,156.73,23470
31,156.64,156.7326,156.61,156.7,19091
32,156.81,156.81,156.67,156.68,10484
33,156.78,156.8516,156.7,156.8,13466
34,156.8,156.86,156.76,156.795,13691
35,156.83,156.887,156.75,156.8,20083
36,156.92,156.92,156.82,156.84,23660
37,157.05,157.14,156.92,156.92,25277
38,157.0922,157.13,157.04,157.04,11835
39,157.03,157.11,156.95,157.11,14883
40,157.34,157.34,157.01,157.02,45042
41,157.53,157.56,157.25,157.33,41300
42,157.54,157.59,157.46,157.53,16426
43,157.47,157.56,157.41,157.54,20776
44,157.54,157.55,157.48,157.49,8289
45,157.63,157.63,157.5,157.54,23172
46,157.655,158.01,157.57,157.66,95893
47,157.23,157.73,157.21,157.64,34446
48,157.23,157.5,157.15,157.28,22761
49,157.23,157.32,157.11,157.2341,29387
50,157.4941,157.55,157.18,157.225,48199
51,157.45,157.57,157.33,157.53,35891
52,157.8499,157.85,157.45,157.45,27167
53,157.87,157.89,157.7602,157.87,14863
54,157.975,158.04,157.75,157.85,16513
55,158.03,158.14,157.89,157.97,36090
56,157.95,158.06,157.89,158.01,32110
57,157.99,157.99,157.81,157.97,31592
58,158.01,158.04,157.88,157.97,20446
59,158.09,158.13,157.97,158.03,28974
60,158.03,158.15,157.98,158.1,18578
61,158.06,158.1999,158.02,158.05,22363
62,158.24,158.26,157.99,158.07,51450
63,158.13,158.26,158.09,158.23,33058
64,158.0836,158.18,158.03,158.13,25676
65,158.03,158.18,158.03,158.1,30333
66,158.19,158.2199,158.07,158.07,43352
67,158.3,158.37,158.2,158.2,34653
68,158.31,158.38,158.22,158.3,34332
69,158.23,158.36,158.18,158.31,34964
70,158.11,158.26,158.02,158.24,40210
71,158.29,158.3,158.1,158.11,43935
72,158.26,158.33,158.25,158.3,32600
73,158.16,158.31,158.15,158.26,49417
74,158.26,158.32,158.16,158.16,58295
75,158.4,158.53,158.27,158.27,108683
76,158.21,158.44,158.15,158.41,96258
77,158.1,158.2,158.03,158.19,178009
78,158.26,158.36,158.08,158.11,186951
288,157.55,157.93,157.55,157.63,90762
289,157.48,157.5,157.05,157.5,62821
290,157.46,157.64,156.93,157.35,86297
291,157.54,157.75,157.35,157.6,57109
292,157.5,157.72,157.32,157.6,40341
293,157.365,157.512,157.28,157.43,46929
294,157.355,157.48,157.28,157.39,62368
295,157.38,157.75,157.13,157.32,112093
296,157.25,157.47,157.25,157.36,46212
297,157.31,157.35,157.11,157.23,29137
298,157.16,157.36,157.14,157.35,29856
299,157,157.145,157,157.13,31273
300,157.03,157.2195,156.88,157.02,34488
301,157.47,157.47,156.97,157.05,35714
302,157.37,157.455,157.27,157.43,21751
303,157.25,157.39,157.23,157.37,21427
304,157.15,157.44,157.11,157.27,22467
305,156.9,157.135,156.85,157.1,23655
306,156.815,156.98,156.76,156.9,28161
307,156.83,156.8319,156.74,156.8,25125
308,156.715,156.89,156.63,156.84,18599
309,156.52,156.69,156.45,156.69,22245
310,156.47,156.57,156.355,156.545,23491
311,156.53,156.64,155.77,156.47,35288
312,156.43,156.66,156.401,156.52,22260
313,156.375,156.56,156.32,156.43,28067
314,156.48,156.56,156.33,156.4,93875
315,156.52,156.59,156.38,156.45,29770
316,156.31,156.51,156.29,156.51,24984
317,156.21,156.44,156.09,156.32,24228
318,156.27,156.3,156.1,156.2,14400
319,156.22,156.4457,156.21,156.27,19829
320,156.35,156.47,156.19,156.19,16081
321,156.79,156.83,156.35,156.35,17434
322,156.67,156.78,156.64,156.78,9072
323,156.4,156.71,156.37,156.68,13160
324,156.16,156.44,156.14,156.44,29892
325,156.24,156.25,156.09,156.14,19173
326,156.33,156.34,156.09,156.2399,14529
327,156.28,156.33,156.15,156.33,17525
328,156.26,156.29,156.19,156.29,13857
329,156.11,156.28,156.08,156.2695,19768
330,156.07,156.16,155.93,156.15,28310
331,155.89,156.08,155.83,156.06,16546
332,156.1,156.13,155.88,155.88,11394
333,156.24,156.29,156.04,156.09,10022
334,156.61,156.62,156.23,156.23,18257
335,156.4,156.67,156.4,156.63,18979
336,156.8,156.83,156.44,156.44,14195
337,156.51,157.03,156.47,156.7801,22229
338,156.61,156.73,156.46,156.55,24800
339,156.31,156.77,156.19,156.62,67249
340,156.345,156.43,156.28,156.32,25909
341,156.02,156.43,156.01,156.37,24631
342,156.09,156.2199,156.01,156.05,19218
343,156.09,156.15,155.96,156.15,35707
344,156.11,156.16,155.95,156.07,20128
345,156.01,156.1499,155.93,156.12,25739
346,155.85,156,155.79,156,28994
347,155.8,155.91,155.72,155.845,22547
348,155.63,155.8275,155.63,155.79,30190
349,155.62,155.73,155.5,155.62,44746
350,155.79,155.82,155.6215,155.635,33576
351,155.8,155.83,155.67,155.78,47553
352,155.76,155.87,155.69,155.76,51861
353,155.71,155.88,155.68,155.77,35244
354,155.6,155.78,155.59,155.72,29167
355,155.57,155.71,155.52,155.62,35076
356,155.67,155.74,155.55,155.59,38186
357,155.5935,155.7,155.5,155.69,47714
358,155.7,155.91,155.59,155.59,47371
359,155.7,155.78,155.655,155.72,57194
360,155.9,155.98,155.69,155.72,34383
361,155.92,156.1,155.84,155.94,39137
